County,State,Zipcode,Name,Max_temp,Min_temp,Description,Feels_like,Sunrise,Sunset,Lon,Lat
St. Martin Parish,LA,70517,Breaux Bridge,21.04,17.03,overcast clouds,19.48,1637757657,1637795260,-91.8296,30.2948
St. Mary Parish,LA,70342,Berwick,19.0,17.22,overcast clouds,18.51,1637757445,1637795194,-91.2518,29.6929
St. Mary's,MD,20609,Avenue,4.84,-0.04,clear sky,1.71,1637755103,1637790572,-76.7466,38.2826
St. Tammany Parish,LA,70420,Abita Springs,18.95,14.41,overcast clouds,15.82,1637757241,1637794799,-90.0041,30.4837
Stafford,KS,67545,Hudson,10.16,7.1,overcast clouds,4.39,1637760341,1637795845,-98.6408,38.1485
Stafford,VA,22405,Fredericksburg,5.07,0.5,clear sky,2.14,1637755276,1637790730,-77.4366,38.3365
Stanislaus,CA,95307,Ceres,15.97,10.82,clear sky,12.7,1637765616,1637801281,-120.9496,37.5833
Stanley,SD,57532,Fort Pierre,-2.96,-4.2,overcast clouds,-3.33,1637761782,1637795251,-100.4043,44.3426
Stanly,NC,28001,Albemarle,7.49,0.63,broken clouds,2.49,1637755516,1637791819,-80.2044,35.3573
Stanton,KS,67855,Johnson,9.91,7.01,scattered clouds,3.96,1637760995,1637796669,-101.7194,37.5694
Stanton,NE,68768,Pilger,3.18,1.77,overcast clouds,-3.3,1637760569,1637794867,-97.0779,41.9761
Stark,IL,61421,Bradford,11.7,8.55,overcast clouds,8.2,1637758649,1637793222,-89.6521,41.1532
Stark,ND,58601,Dickinson,-9.44,-11.89,scattered clouds,-16.9,1637762821,1637795341,-102.7565,46.8057
Stark,OH,44601,Alliance,7.77,3.75,overcast clouds,2.51,1637756561,1637791213,-81.1182,40.9158
Starke,IN,46366,North Judson,11.16,7.94,overcast clouds,6.92,1637757968,1637792522,-86.7759,41.215
Starr,TX,78536,Delmita,24.73,22.67,clear sky,24.54,1637758815,1637797262,-98.4125,26.6801
Staunton city,VA,24401,Staunton,4.36,-2.88,clear sky,0.93,1637755641,1637791147,-79.0651,38.1574
Ste. Genevieve,MO,63627,Bloomsdale,15.29,13.36,overcast clouds,13.18,1637758318,1637793855,-90.2805,38.0451
Stearns,MN,55329,Eden Valley,-0.32,-6.89,haze,-9.35,1637760568,1637793680,-94.6039,45.302
Steele,MN,55049,Medford,2.06,-0.37,overcast clouds,-5.32,1637760032,1637793564,-93.2437,44.1741
Steele,ND,58046,Hope,-9.72,-11.6,overcast clouds,-18.6,1637761716,1637794026,-97.7134,47.3237
Stephens,GA,30538,Eastanollee,8.13,2.24,clear sky,5.32,1637756134,1637792668,-83.2587,34.5037
Stephens,OK,73055,Marlow,19.4,16.75,broken clouds,18.19,1637759678,1637796172,-97.941,34.6387
Stephens,TX,76424,Breckenridge,22.1,19.47,clear sky,21.16,1637759663,1637796652,-98.9099,32.7532
Stephenson,IL,61013,Cedarville,10.93,6.11,clear sky,6.75,1637758849,1637793015,-89.6365,42.3761
Sterling,TX,76951,Sterling City,20.59,18.22,overcast clouds,17.55,1637760049,1637797271,-101.0017,31.8351
Steuben,IN,46703,Angola,8.92,7.38,overcast clouds,5.19,1637757619,1637792028,-85.0198,41.6563
Steuben,NY,14572,Wayland,3.5,-2.2,clear sky,-2.46,1637755987,1637790093,-77.5906,42.5593
Stevens,KS,67951,Hugoton,11.03,7.91,clear sky,5.9,1637760845,1637796635,-101.3346,37.1682
Stevens,MN,56207,Alberta,-6.4,-9.85,clear sky,-15.61,1637760964,1637793979,-96.0498,45.5571
Stevens,WA,99013,Ford,3.34,-0.93,overcast clouds,1.3,1637766668,1637798722,-117.8119,47.9169
Stewart,GA,31815,Lumpkin,9.75,3.5,few clouds,3.27,1637756185,1637793358,-84.8022,32.0435
Stewart,TN,37023,Big Rock,13.33,10.17,overcast clouds,10.5,1637757494,1637793458,-87.7378,36.5716
Stillwater,MT,59001,Absarokee,1.06,-1.45,clear sky,-2.55,1637764179,1637797206,-109.4692,45.5154
Stoddard,MO,63730,Advance,14.91,13.54,overcast clouds,12.85,1637758090,1637793905,-89.9106,37.0922
Stokes,NC,27016,Danbury,6.41,-0.68,overcast clouds,2.07,1637755672,1637791670,-80.2194,36.4559
Stone,AR,72051,Fox,15.66,13.27,overcast clouds,15.01,1637758478,1637794666,-92.3043,35.7682
Stone,MO,65611,Blue Eye,17.2,13.68,overcast clouds,15.49,1637758836,1637794805,-93.3388,36.5493
Stone,MS,39561,Mc Henry,16.69,12.49,scattered clouds,14.15,1637757063,1637794569,-89.1536,30.6975
Stonewall,TX,79502,Aspermont,19.67,19.67,overcast clouds,18.55,1637760030,1637796922,-100.2344,33.1301
Storey,NV,89440,Virginia City,4.2,-0.69,few clouds,1.6,1637765562,1637800715,-119.6587,39.2965
Story,IA,50010,Ames,7.04,2.43,overcast clouds,-0.2,1637759744,1637794023,-93.6003,42.0379
Strafford,NH,03820,Dover,3.25,-2.38,clear sky,-2.48,1637754486,1637788376,-70.8868,43.1888
Stutsman,ND,58401,Jamestown,-9.01,-10.27,overcast clouds,-16.05,1637761881,1637794356,-98.7455,46.921
Sublette,WY,82922,Bondurant,-5.12,-9.11,clear sky,-10.76,1637763967,1637797834,-110.3353,43.2238
Suffolk,MA,02108,Boston,3.79,-1.81,few clouds,-1.38,1637754386,1637788563,-71.0684,42.3576
Suffolk,NY,06390,Fishers Island,5.53,-0.69,clear sky,0.94,1637754432,1637788973,-72.0178,41.2639
Suffolk city,VA,23432,Suffolk,5.54,1.03,scattered clouds,3.07,1637754852,1637790734,-76.5598,36.8668
Sullivan,IN,47838,Carlisle,12.82,10.57,overcast clouds,10.59,1637757758,1637793016,-87.3667,38.9763
Sullivan,MO,63544,Green Castle,13.86,10.76,overcast clouds,11.68,1637759282,1637794138,-92.878,40.2703
Sullivan,NH,03280,Washington,-0.56,-5.7,broken clouds,-5.8,1637754770,1637788665,-72.0824,43.1747
Sullivan,NY,12701,Monticello,0.59,-4.99,clear sky,-5.24,1637755140,1637789553,-74.7007,41.6516
Sullivan,PA,17731,Eagles Mere,0.59,-4.53,broken clouds,-2.02,1637755552,1637790044,-76.5819,41.4109
Sullivan,TN,37617,Blountville,5.73,-0.28,clear sky,2.96,1637756199,1637792174,-82.3656,36.5356
Sully,SD,57520,Agar,-3.29,-4.52,scattered clouds,-10.37,1637761794,1637795079,-100.0712,44.8393
Summers,WV,24935,Forest Hill,7.64,-1.48,overcast clouds,3.14,1637755973,1637791654,-80.8111,37.5608
Summit,CO,80424,Breckenridge,-7.61,-11.27,overcast clouds,-15.67,1637762315,1637797416,-106.0225,39.4753
Summit,OH,44056,Macedonia,7.51,5.27,overcast clouds,4.5,1637756719,1637791238,-81.4996,41.3222
